oniguruma 6.9.8-1
openal 1.22.2-1
openbsd-netcat 1.218_5-1
opencore-amr 0.1.5-5
opencv 4.6.0-3
opendrop 0.13.0-3
openexr 3.1.5-1
openjpeg2 2.5.0-1
openmp 14.0.6-1
openmpi 4.1.4-1
openpmix 4.1.2-1
openssh 9.0p1-1
openssl 1.1.1.q-1
openssl-1.0 1.0.2.u-1
openvpn 2.5.7-1
opus 1.3.1-3
orc 0.4.32-1
osinfo-db 20220516-1
osm-gps-map 1.2.0-1
oversteer 0.7.1-1
owlink-git 0.0.0.r44.8e4e840-1
p11-kit 0.24.1-1
p7zip 1:17.04-3
p8-platform 2.1.0.1-4
pacman 6.0.1-5
pacman-contrib 1.6.0-1
pacman-mirrorlist 20220724-1
pahole 1.23-1
pam 1.5.2-1
pam-fprint-grosshack 0.2.0-1
pam-python 1.0.8-3
pam_wrapper 1.1.4-2
pambase 20211210-1
pamtester 0.1.2-4
pango 1:1.50.8-1
pangomm 2.46.2-1
paperview-git r15.40162fb-1
papirus-icon-theme 20220710-1
parted 3.5-1
patch 2.7.6-8
pavucontrol 1:5.0+r35+g964f298-1
pciutils 3.8.0-2
pcre 8.45-1
pcre2 10.40-1
perl 5.36.0-1
perl-clone 0.45-4
perl-encode-locale 1.05-9
perl-error 0.17029-4
perl-file-listing 6.15-2
perl-html-parser 3.78-2
perl-html-tagset 3.20-12
perl-http-cookies 6.10-3
perl-http-daemon 6.14-2
perl-http-date 6.05-5
perl-http-message 6.37-1
perl-http-negotiate 6.01-10
